ra,dec,vmag,bv
269.75666666666666,-9.773611111111112,3.34,0.99
269.15166666666664,51.48888888888889,2.23,1.52
271.4520833333333,-30.424166666666668,2.99,1.00
274.4066666666667,-36.76166666666666,3.11,1.56
275.24875,-29.828055555555554,2.70,1.38
275.3275,-2.898888888888889,3.26,0.94
276.04291666666666,-34.38472222222222,1.85,-0.03
276.99249999999995,-25.421666666666667,2.81,1.04
279.2345833333333,38.78361111111111,0.03,0.00
281.41416666666663,-26.990833333333335,3.17,-0.11
282.52,33.36277777777778,3.45,0.00
283.81625,-26.296666666666667,2.02,-0.22
284.7358333333333,32.68944444444444,3.24,-0.05
285.65291666666667,-29.880277777777778,2.60,0.08
286.735,-27.670555555555556,3.32,1.19
286.35249999999996,13.863333333333333,2.99,0.01
286.5620833333333,-4.8825,3.44,-0.09
287.4408333333333,-21.02361111111111,2.89,0.35
288.13874999999996,67.66166666666668,3.07,1.00
291.3745833333333,3.1147222222222224,3.36,0.32
292.68041666666664,27.959722222222222,3.08,1.13
296.565,10.613333333333333,2.72,1.52
296.24375,45.130833333333335,2.87,-0.03
297.6958333333333,8.868333333333334,0.77,0.22
299.6891666666666,19.492222222222225,3.47,1.57
302.82625,-0.8213888888888888,3.23,-0.07
305.2529166666667,-14.78138888888889,3.08,0.79
306.4120833333333,-56.735,1.94,-0.20
305.5570833333333,40.25666666666667,2.20,0.68
309.39166666666665,-47.29138888888889,3.11,1.00
311.2395833333333,-66.20305555555557,3.42,0.16
310.35791666666665,45.280277777777776,1.25,0.09
311.5529166666666,33.97027777777778,2.46,1.03
311.3225,61.83888888888889,3.43,0.92
318.23416666666657,30.22694444444444,3.20,0.99
319.645,62.58555555555556,2.44,0.22
322.8895833333333,-5.571111111111111,2.91,0.83
322.1649999999999,70.56083333333333,3.23,-0.22
326.0466666666666,9.875,2.39,1.53
326.76,-16.127222222222223,2.87,0.29
328.48208333333326,-37.365,3.01,-0.12
331.44583333333327,-0.3197222222222222,2.96,0.98
332.0583333333333,-46.961111111111116,1.74,-0.13
332.71375,58.20111111111111,3.35,1.57
334.62541666666664,-60.25972222222222,2.86,1.39
340.3654166666666,10.831388888888888,3.40,-0.09
340.6670833333333,-46.88472222222222,2.10,1.60
340.7504166666666,30.22138888888889,2.94,0.86
342.13875,-51.316944444444445,3.49,0.08
342.5008333333333,24.601666666666667,3.48,0.93
343.66249999999997,-15.820833333333333,3.27,0.05
344.4129166666666,-29.622222222222224,1.16,0.09
345.94374999999997,28.08277777777778,2.42,1.67
346.19041666666664,15.205277777777777,2.49,-0.04
354.8366666666666,77.6325,3.21,1.03
